subtopic_id,Subtopic,internal_id,Indicator,short_name,label,description,message
36,Housing,2365,Evictions (court-ordered),Evictions,Evictions (court-ordered),"Eviction often leads to residential instability, moving into poor quality housing, overcrowding, and homelessness, all of which is associated with negative health among adults and children.People who are threatened with eviction, even before they lose their home, are more likely to report poor health, high blood pressure, depression  (from ""The Hidden Health Crisis of Eviction"" by Allison Bovell-Ammo and Megan Sandel).",
36,Housing,15,Household crowding,Crowding,Household crowding,Households with more than one person per room are considered crowded.,
36,Housing,46,Homes near structures rated good or excellent,Neighborhood building quality,Homes near structures rated good or excellent,Building quality predicts the number of housing maintenance deficiencies in a residence that place residents at increased risk of acute or chronic health problems.,
36,Housing,47,Homes using supplemental heat,Supplemental heat,Homes using supplemental heat,The need for supplemental heat may mean a building's main heat source doesn't work - and can indicate the presence of other health-threatening maintenance deficiencies.,
36,Housing,45,Homes with 3+ maintenance deficiencies,,Homes with 3 or more maintenance deficiencies,Homes with maintenance deficiencies can threaten the health of the people who live there.,
36,Housing,107,Homes with cockroaches,Cockroaches,Homes with cockroaches,"The saliva, feces, and shedding body parts of cockroaches are an allergen and can trigger asthma.",
36,Housing,40,Homes with cracks or holes,Cracks,Homes with cracks or holes,"Cracks or holes are a maintenance deficiency linked to the presence of mice, rats, and cockroaches - which can harm residents' health.",
36,Housing,2188,Homes with grab bars in bathroom (among older adult households),,Homes with grab bars in bathroom (among older adult households),Grab bars in bathrooms can help prevent falls among older adults.,
36,Housing,42,Homes with leaks,Leaks,Homes with leaks,"Leaks are a maintenance deficiency that can harm health by introducing mold, which can worsen respiratory conditions like asthma.",
36,Housing,48,Homes with mice or rats in the building,Mice or rats (inside),Homes with mice or rats in the building,The presence of mice or rats in the home is often associated with poor housing maintenance. These pests can contaminate food and worsen asthma.,
36,Housing,2185,Households reporting air conditioning,Households with AC,Households reporting air conditioning,"Air conditioning is an important way to avoid heat stress, especially for persons with limited mobility.",
36,Housing,2377,Households using electric medical equipment,,Households using electric medical equipment,People who use electric medical equipment are more vulnerable during power outages or evacuations.,
36,Housing,17,Owner-occupied homes,,Owner-occupied homes,,
36,Housing,41,Old homes with peeling paint,Peeling paint,Old homes with peeling paint,"Older housing (built before 1960) and peeling paint can put residents at risk of lead poisoning, due to lead paint - which was banned from household paints in the USA in 1978.",
36,Housing,2399,Renter-occupied homes with any health-related maintenance problems,Maintenance problems,Renter-occupied homes with any health-related maintenance problems,Homes with maintenance deficiencies can threaten the health of the people who live there.,
36,Housing,2179,Renter-occupied homes with no maintenance deficiencies ,,Renter-occupied homes with no maintenance deficiencies,Healthy homes are free of maintenance deficiencies. ,
87,Housing and Neighborhoods,2003,Housing Affordability,,Housing Affordability,,
87,Housing and Neighborhoods,2002,Housing Supply,,Housing Supply,,
87,Housing and Neighborhoods,2004,Housing Sustainability,,Housing Sustainability,,
4,Lead Hazards,2176,Children under 5 years old in Poverty,Child poverty,Children under 5 years old in Poverty,"Poverty is a major determinant of health, since poverty deprives people of access to health and safety resources.",
4,Lead Hazards,16,Pre-1950 Homes,,Pre-1950 Homes,,
4,Lead Hazards,41,Pre-1960 Homes with Peeling Paint,Peeling paint,Pre-1960 Homes with Peeling Paint,"Older housing and peeling paint can put residents at risk of lead poisoning, due to lead paint - which was banned from household paints in the USA in 1978.",
7,Mice and Rats,2105,Adults Reporting Mice in the Home,Mice or rats (inside),Adults reporting mice in the home,Mice or rats in the home are a source of household allergens connected to the developement of asthma and exacerbation of asthma symptoms. They may also indicate other health-threatening maintenance deficiencies.,
7,Mice and Rats,24,Adults Reporting Rats or Mice outside Their Building,Mice or rats (outside),Adults reporting rats or mice outside their building,Mice and rats outside a building can indicate the presence of mice and rats in people's homes - which can trigger asthma and indicate other health-threatening maintenance deficiencies.,
7,Mice and Rats,2394,Children living in homes with mice (ages 0-13  years),,Children living in homes with mice (ages 0-13&nbsp; years),,
7,Mice and Rats,48,Homes with Mice or Rats in the Building,Mice or rats (inside),Homes with mice or rats in the building,The presence of mice or rats in the home is often associated with poor housing maintenance. These pests can contaminate food and contribute to the development and exacerbation of asthma and its symptoms.,
126,Mortality,5,Infant Death,,Infant Death,,
126,Mortality,6,Neonatal Death,,Neonatal Death,,
126,Mortality,8,Postneonatal Death,,Postneonatal Death,,
126,Mortality,2322,Premature Mortality,Death before 65,Premature Mortality,The rate of people who die before age 65 can indicate the overall health of a population.,
91,Neighborhood Air Quality,2024,Black Carbon,Black carbon,Black Carbon,"Black carbon is a major component of fine particulate matter (PM) in the air. Particulate matter is easily inhaled into the lungs and can contribute to both short-term acute health effects, as well as long-term chronic illness.",
91,Neighborhood Air Quality,2023,Fine Particulate Matter (PM2.5),PM2.5 (Fine particles),Fine Particulate Matter (PM<sub>2.5</sub>),"Fine particles are emitted by vehicles, building boilers, and other combustion - and are a major form of air pollution that harms health.",
91,Neighborhood Air Quality,2028,Nitric Oxide (NO),Nitric oxide,Nitric Oxide (NO),"Nitrogen oxides (NOx), which include nitric oxide (NO) and nitrogen dioxide (NO2), are a group of pollutants formed by combusion that can cause damage to lung tissue, breathing and respiratory problems, as well as contribute to smog and acid rain.",
91,Neighborhood Air Quality,2025,Nitrogen Dioxide (NO2),Nitrogen dioxide,Nitrogen Dioxide (NO2),"Nitrogen oxides (NOx), which include nitric oxide (NO) and nitrogen dioxide (NO2), are a group of pollutants formed by combusion that can cause damage to lung tissue, breathing and respiratory problems, as well as contribute to smog and acid rain.",
91,Neighborhood Air Quality,2027,Ozone (O3),Ozone,Ozone (O3),Ozone is a common air pollutant that can harm breathing and worsen asthma and other respiratory conditions.,
91,Neighborhood Air Quality,2026,Sulfur Dioxide (SO2),Sulfur dioxide,Sulfur Dioxide (SO2),"Sulfur dioxide comes from burning certain types of fuel oil. As an air pollutant, it can can worsen lung diseases.",
105,Noise,2134,Disruptive Noise Exposure,,Disruptive Noise Exposure,,
124,NYC Agency Pesticide Use,2345,"All Agency Use of ""Best Practice"" Products",,All NYC Agencies,,
124,NYC Agency Pesticide Use,2348,All Agency Use of Fungicides,,All NYC Agencies,,
124,NYC Agency Pesticide Use,2351,All Agency Use of Herbicides,,All NYC Agencies,,
124,NYC Agency Pesticide Use,2354,All Agency Use of Insecticides,,All NYC Agencies,,
124,NYC Agency Pesticide Use,2357,All Agency Use of Rodenticides,,All NYC Agencies,,
17,Other NYC data,2235,Adults Reporting Personal Use of Pesticides,,Adults Reporting Personal Pesticide Use,,
17,Other NYC data,2145,Adults with Independent Living Difficulty,Independence difficulty,Adults with Independent Living Difficulty,"<p>People with disabilities or access or functional needs may need additional support during extreme weather to avoid injury, illness or even death. For example, planning needs to be made for safe travel out of evacuation zones during a hurricane, or to ensure back-up electricity is available to to support medical equipment during power outages caused by heat waves.</p>",
,,,,,,<p>&nbsp;</p>,
,,,,,,"<p>Information provided here about adults with independent living difficulties can help emergency management professionals better prepare our residents for emergencies. For more information, please visit:</p>",
,,,,,,"<p><a href=""https://www1.nyc.gov/site/em/ready/disabilities-access-functional-needs.page"">NYC Emergency Management: Disabilities, Access &amp; Functional Needs</a></p>",
17,Other NYC data,2115,Air Toxics Concentrations- Average Benzene Concentrations,Benzene,Air Toxics Concentrations- Average Benzene Concentrations,Benzene is an air pollutant resulting from motor vehicle and industrial emissions and tobacco smoke. Benzene is a known carcinogen that can also harm bone marrow and red blood cell function.,
17,Other NYC data,2116,Air Toxics Concentrations- Average Formaldehyde Concentrations,Formaldehyde,Air Toxics Concentrations- Average Formaldehyde Concentrations,Formaldehyde is an air pollutant resulting from car exhaust and the manufacture of industrial products. Formaldehyde is a known carcinogen that can also cause irritation to eyes and lungs and increase risk of asthma and trigger asthma symptoms.,
17,Other NYC data,2140,Area in hurricane evacuation zone,Flood risk,Area in hurricane evacuation zone,Areas in evacuation zones are at increased risk of flooding during coastal storms. They may be ordered to evacuate in the event of a hurricane or coastal flooding.,
17,Other NYC data,2044,Arsenic in Drinking Water,,Arsenic in Drinking Water,,
17,Other NYC data,2378,Asthma Emergency Department Visits (Children 0 to 4 Yrs Old) by NTA,,Children ages 0 to 4 - small area neighborhood (NTA),,
17,Other NYC data,2111,Boiler Emissions- Total NOx Emissions,Boiler emissions (NOx),Boiler Emissions- Total NOx Emissions,"Boilers are a common source of NOx emissions, which can harm health.",
17,Other NYC data,2110,Boiler Emissions- Total PM2.5 Emissions,Boiler emissions (PM2.5),Boiler Emissions- Total PM2.5 Emissions,"Boilers are a common source of PM2.5, which can harm health.",
17,Other NYC data,2109,Boiler Emissions- Total SO2 Emissions,Boiler emissions (SO2),Boiler Emissions- Total SO2 Emissions,"Boilers are a common source of SO2, which can worsen lung disease.",
17,Other NYC data,38,Carbon monoxide incidents,,Carbon monoxide incidents,A carbon monoxide incident is a leak where the Fire Department measures at least 1 ppm at the scene.,
17,Other NYC data,2365,Court Ordered Evictions,,Court-Ordered Evictions,"<p><span>People who are</span><span>&nbsp;</span><a href=""https://www.ncbi.nlm.nih.gov/pubmed/28107704"" rel=""noopener"" target=""_blank""><span>threatened with eviction</span></a><span>, even before they lose their home, are more likely to report poor health, high blood pressure, depression, anxiety, and psychological distress. Eviction often leads to residential instability, moving into poor quality housing, overcrowding, and homelessness, all of which is associated with</span><span>&nbsp;</span><a href=""http://www.mapc.org/wp-content/uploads/2017/11/HIA_Just_Cause_final.pdf"" rel=""noopener"" target=""_blank""><span>negative health</span></a><span>&nbsp;among</span><span>&nbsp;</span><a href=""https://scholar.harvard.edu/files/mdesmond/files/desmondkimbro.evictions.fallout.sf2015_2.pdf"" rel=""noopener"" target=""_blank""><span>adults</span></a><span>&nbsp;and</span><span>&nbsp;</span><a href=""http://childrenshealthwatch.org/wp-content/uploads/Unstable-Housing-and-Caregiver-and-Child-Health-in-Renter-Families.pdf"" rel=""noopener"" target=""_blank""><span>children</span></a><span>.</span></p>",
,,,,,,"<p>(From ""<a href=""https://www.bu.edu/sph/2018/10/05/the-hidden-health-crisis-of-eviction/"" target=""_blank"">The Hidden Health Crisis of Eviction</a>"" by <span>Allison Bovell-Ammo and Megan Sandel</span>)</p>",
,,,,,,<p>&nbsp;</p>,
17,Other NYC data,15,Crowding (> 1 person/room),Crowding,Crowding (&gt; 1 person/room), Occupied housing units with more than one person per room are considered crowded.,
17,Other NYC data,2043,Disinfection By-Product in Drinking Water (HAA5),,Disinfection By-Product in Drinking Water - <span>Haloacetic Acids</span> (HAA5),,
17,Other NYC data,81,Homes in 1 or 2 Family Buildings,,Homes in 1 or 2 Family Buildings,,
17,Other NYC data,13,Neighborhood Poverty,,Neighborhood Poverty,,
17,Other NYC data,2142,Neighborhood Poverty (ACS),Poverty,Neighborhood Poverty (ACS),"Neighborhood poverty measures residents' access to economic stability, education, adequate health care, safe housing and freedom from stress. Neighborhoods with higher poverty tend to have less access to these factors and experience worse health outcomes.",
17,Other NYC data,2041,Nitrate in Drinking Water,,Nitrate in Drinking Water,,
17,Other NYC data,2146,Older adults living alone,Older adults living alone,Older adults living alone,"Older adults are more vulnerable to extreme weather. Those living alone may have more difficulty getting resources they need in an emergency, and are at higher risk of weather-related illnesses like heat stroke and hypothermia.",
17,Other NYC data,103,Poverty,Poverty,Poverty,"Neighborhood poverty is a major determinant of health, since poverty deprives people of access to health and safety resources.",
17,Other NYC data,2147,Public School Children (5-14 Yrs Old) with Asthma,Asthma (public school children),Public school children (age 5-14) with asthma,Asthma is a common disease characterized by breathing difficulty. Environmental exposures resulting from poor air quality and housing maintenance are known to increase risk of asthma development and trigger asthma symptoms.,
17,Other NYC data,2149,Public School Children (5-14 Yrs Old) with Persistent Asthma,,Public school children (age 5-14) with persistent asthma,,
17,Other NYC data,2325,Race and Ethnicity,,Race and Ethnicity,,
17,Other NYC data,2144,Serious psychological distress,Psychological distress,Serious psychological distress,Mental health conditions like series psychological distress can be worsened by extreme weather such as heat waves and coastal storms.,
17,Other NYC data,2026,Sulfur Dioxide (SO2),Sulfur dioxide,Sulfur Dioxide (SO2),"Sulfur dioxide comes from burning certain types of fuel oil. As an air pollutant, it can can worsen lung diseases.",
17,Other NYC data,2112,Traffic Density- Annual Vehicle Miles Traveled,Traffic,Traffic Density- Annual Vehicle Miles Traveled,Traffic density is a measure of  the average number of vehicles that occupy specified area. Traffic density can influence health as a source of air pollution and traffic-related injuries. ,
17,Other NYC data,2113,Traffic Density- Annual Vehicle Miles Traveled for Cars,Car traffic,Traffic Density- Annual Vehicle Miles Traveled for Cars,Traffic density is a measure of  the average number of vehicles that occupy specified area. Traffic density can influence health as a source of air pollution and traffic-related injuries. ,
17,Other NYC data,2114,Traffic Density- Annual Vehicle Miles Traveled for Trucks,Truck traffic,Traffic Density- Annual Vehicle Miles Traveled for Trucks,Traffic density is a measure of  the average number of vehicles that occupy specified area. Traffic density can influence health as a source of air pollution and traffic-related injuries. ,
17,Other NYC data,2157,Tree Canopy Cover,Tree shade,Tree Canopy Cover,"<p>The number of trees and the area shaded by them influences many neighborhood factors, such as attractiveness and lower summer temperatures that, in turn, encourage residents and visitors to walk and do other physical activity. &ldquo;Tree canopy cover&rdquo; measures the percent of a neighborhood that is covered (or shaded) by trees.</p>",
17,Other NYC data,2143,Vegetative Cover,Grass and tree cover,Vegetative Cover,"<p>Vegetative cover is the land covered by trees, grass, or other plants. This area is not covered by a hard surface such as paved roads, sidewalks, or buildings. <a href=""https://www.epa.gov/heat-islands/using-trees-and-vegetation-reduce-heat-islands"">Vegetative cover tends to reduce temperatures in the immediate area</a>.</p>",
113,Overweight,2063,Obese Adults,Obesity,Obese Adults,People who are obese are at increased risk for heart disease and diabetes. Neighborhood factors such as walkability and the types of food retail outlets available can impact residents' risk of being overweight or obese.,
113,Overweight,2064,Obese Youth,,Obese Youth,,
113,Overweight,2061,Overweight or Obese Adults,Overweight,Overweight or Obese Adults,People who are overweight or obese are at increased risk for heart disease and diabetes.,
113,Overweight,2062,Overweight or Obese Youth,,Overweight or Obese Youth,,
78,Parks and Public Space,775,Park Distance,,Park Distance,,
9,Pesticides,2235,Adults Reporting Personal Use of Pesticides,,Adults Reporting Personal Pesticide Use,,
9,Pesticides,2312,Commercial Insecticide Use,,Combined Insecticides,,
9,Pesticides,100,"Commercial Use of ""Best Practice"" Products",,"""Best Practice"" Products",,
9,Pesticides,96,Commercial Use of Fungicides,,Fungicides,,
9,Pesticides,94,Commercial Use of Herbicides,,Herbicides,,
9,Pesticides,93,Commercial Use of Insecticides,,Insecticides,,
9,Pesticides,97,Commercial Use of Insecticides (Organophosphate),,Insecticides (Organophosphate),,
9,Pesticides,98,Commercial Use of Insecticides (Pyrethroid/Pyrethrin),,Insecticides (Pyrethroid/Pyrethrin),,
9,Pesticides,102,Commercial Use of Rodenticides,,Rodenticides,,
9,Pesticides,99,Insecticides (Carbamate),,Insecticides (Carbamate),,
9,Pesticides,2366,"NYC Agency Use of ""Best Practice"" Products",,"""Best Practice"" Products","<p><span>NYC enacted a local law in 2005 that requires city agencies to reduce use of toxic products to control pests, and to adopt &ldquo;Best Practices&rdquo; instead. Best practice products use active ingredients with very low toxicity or involve formulation or application methods that minimize potential exposure and environmental spread.</span></p>",
9,Pesticides,2364,NYC Agency Use of Fungicides,,Fungicides,,
9,Pesticides,2367,NYC Agency Use of Glyphosate,,Glyphosate,,
9,Pesticides,2368,NYC Agency Use of Herbicides,,Herbicides,,
9,Pesticides,2369,NYC Agency Use of Insecticides,,Insecticides,,
9,Pesticides,2374,NYC Agency Use of Mosquito Control,,Mosquito Control,,
9,Pesticides,2370,NYC Agency Use of Rodenticides,,Rodenticides,,
9,Pesticides,91,Regular Exterminator Service,,Regular Exterminator Service,,
96,Physical Activity,2060,Adults Reporting Exercise in the Past 30 Days,Exercise,Adults Reporting Exercise in the Past 30 Days,Regular exercise is a key way to stay healthy.,
96,Physical Activity,2058,Adults Who Walk or Bike for Transportation,,Adults Who Walk or Bike for Transportation,,
96,Physical Activity,2173,Bike for Transportation in the Past 7 Days,,Bike for Transportation in the Past 7 Days,,
96,Physical Activity,2059,Monthly Bicycle Use,Bicycling,Monthly Bicycle Use,Monthly bicycle use is an indicator of physical activity and regular cycling.,
96,Physical Activity,2172,Walk for Transportation in the Past 7 Days,,Walk for Transportation in the Past 7 Days,,
106,Population Characteristics,38,Carbon Monoxide Incidents,,Carbon Monoxide Incidents,,
98,Restaurant Food Safety,2065,Restaurants with A Grades,,Restaurants with A Grades,,
109,Social and Economic Conditions,2151,Adults with a Personal Doctor,,Adults with a Personal Doctor,,
109,Social and Economic Conditions,2132,Adults with Health Insurance,Health insurance (adults),Adults with Health Insurance,"<p>Health insurance coverage is associated with numerous beneficial health effects. Those with health insurance are more likely to have a regular doctor, receive preventive care services, better manage chronic health conditions, have longer life expectancy, and more.</p>",
109,Social and Economic Conditions,2145,Adults with independent living difficulty,Independence difficulty,Adults with independent living difficulty,"People with disabilities or access or functional needs may need additional support during extreme weather. For example, they may need extra planning for safe travel out of evacuation zones during a hurricane, or  back-up electricity  to support medical equipment during power outages.",
,,,,,,<p>&nbsp;</p>,
,,,,,,"<p>Information provided here about adults with independent living difficulties can help emergency management professionals better prepare our residents for emergencies. For more information, please visit:</p>",
,,,,,,"<p><a href=""https://www1.nyc.gov/site/em/ready/disabilities-access-functional-needs.page"">NYC Emergency Management: Disabilities, Access &amp; Functional Needs</a></p>",
109,Social and Economic Conditions,2176,Children under 5 years old in Poverty,Child poverty,Children under 5 years old in Poverty,"Poverty is a major determinant of health, since poverty deprives people of access to health and safety resources.",
109,Social and Economic Conditions,2365,Court Ordered Evictions,,Court-Ordered Evictions,"<p><span>People who are</span><span>&nbsp;</span><a href=""https://www.ncbi.nlm.nih.gov/pubmed/28107704"" rel=""noopener"" target=""_blank""><span>threatened with eviction</span></a><span>, even before they lose their home, are more likely to report poor health, high blood pressure, depression, anxiety, and psychological distress. Eviction often leads to residential instability, moving into poor quality housing, overcrowding, and homelessness, all of which is associated with</span><span>&nbsp;</span><a href=""http://www.mapc.org/wp-content/uploads/2017/11/HIA_Just_Cause_final.pdf"" rel=""noopener"" target=""_blank""><span>negative health</span></a><span>&nbsp;among</span><span>&nbsp;</span><a href=""https://scholar.harvard.edu/files/mdesmond/files/desmondkimbro.evictions.fallout.sf2015_2.pdf"" rel=""noopener"" target=""_blank""><span>adults</span></a><span>&nbsp;and</span><span>&nbsp;</span><a href=""http://childrenshealthwatch.org/wp-content/uploads/Unstable-Housing-and-Caregiver-and-Child-Health-in-Renter-Families.pdf"" rel=""noopener"" target=""_blank""><span>children</span></a><span>.</span></p>",
,,,,,,"<p>(From ""<a href=""https://www.bu.edu/sph/2018/10/05/the-hidden-health-crisis-of-eviction/"" target=""_blank"">The Hidden Health Crisis of Eviction</a>"" by <span>Allison Bovell-Ammo and Megan Sandel</span>)</p>",
,,,,,,<p>&nbsp;</p>,
109,Social and Economic Conditions,15,Crowding (> 1 person/room),Crowding,Crowding (&gt; 1 person/room), Occupied housing units with more than one person per room are considered crowded.,
109,Social and Economic Conditions,14,Foreign-Born,,Foreign-Born,,
109,Social and Economic Conditions,2334,High School Graduation,,High School Graduation,,
109,Social and Economic Conditions,2335,Limited English,,Limited English,,
109,Social and Economic Conditions,2106,Neighborhood Race/Ethnicity - Non Hispanic Black,,Neighborhood Race/Ethnicity - Non Hispanic Black,,
109,Social and Economic Conditions,2146,Older Adults Living Alone,Older adults living alone,Older Adults Living Alone,Adults over the age of 65 are more vulnerable to extreme hot and cold weather. Those that live alone may have more difficulty getting the resources they need in extreme weather events and are at higher risk of weather-related illnesses like heat stroke and hypothermia.,
109,Social and Economic Conditions,17,Owner-Occupied Homes,,Owner-occupied homes,,
109,Social and Economic Conditions,2073,Perception of Neighborhood Safety,Neighborhood safety,Perception of Neighborhood Safety,"Whether people perceive their neighborhood as safe can affect whether they will spend time outside, use parks, and use active and sustainable forms of transportation. It can also affect mental well-being.",
109,Social and Economic Conditions,103,Neighborhood poverty,Poverty,Neighborhood poverty,The percent of households with incomes below the federal poverty level. Households without sufficient resources are often deprived of access to items such as health care and good quality housing that are needed to maintain good health. ,
109,Social and Economic Conditions,2325,Race and Ethnicity,,Race and Ethnicity,,
109,Social and Economic Conditions,2336,Rent Burdened Households,,Rent Burdened Households,,
109,Social and Economic Conditions,2323,School Absenteeism,,School Absenteeism,,
109,Social and Economic Conditions,2232,Self-Reported Health,,Self-Reported Health,,
109,Social and Economic Conditions,2337,Unemployment,,Unemployment,,
109,Social and Economic Conditions,2389,Unhealthy Food Access,,Unhealthy Food Access,,
102,Sugary Drink Consumption,2097,Adult Consumption of 1 or More Sugary Drinks Per Day,,Adult Consumption of 1 or More Sugary Drinks Per Day,,
102,Sugary Drink Consumption,2098,Youth Consumption of 1 or More Sugary Drinks Per Day,,Youth Consumption of 1 or More Sugary Drinks Per Day,,
114,Traffic,2236,Adults Reporting Driving in the Last 30 Days,,Adults Reporting Driving in the Last 30 Days,,
114,Traffic,2237,Adults Reporting Messaging While Driving in the Last 30 Days,,Adults Reporting Messaging While Driving in the Last 30 Days,,
114,Traffic,2238,Adults Reporting Speeding in the Last 30 Days,,Adults Reporting Speeding in the Past 30 Days,,
114,Traffic,2112,Traffic Density- Annual Vehicle Miles Traveled,Traffic,Traffic Density- Annual Vehicle Miles Traveled,Traffic density is a measure of  the average number of vehicles that occupy specified area. Traffic density can influence health as a source of air pollution and traffic-related injuries. ,
114,Traffic,2113,Traffic Density- Annual Vehicle Miles Traveled for Cars,Car traffic,Traffic Density- Annual Vehicle Miles Traveled for Cars,Traffic density is a measure of  the average number of vehicles that occupy specified area. Traffic density can influence health as a source of air pollution and traffic-related injuries. ,
114,Traffic,2114,Traffic Density- Annual Vehicle Miles Traveled for Trucks,Truck traffic,Traffic Density- Annual Vehicle Miles Traveled for Trucks,Traffic density is a measure of  the average number of vehicles that occupy specified area. Traffic density can influence health as a source of air pollution and traffic-related injuries. ,
90,Transportation,2390,Bicycle Network Coverage,Bike lanes,Bicycle Network Coverage,"The percent of streets with bike lanes can affect cyclist and pedestrian safety, physical activity, and sustainable transportation use. ",
90,Transportation,2011,Modal Shift - All Travel,,Modal Shift - All Travel,,
90,Transportation,2012,Modal Shift - Travel to the Central Business District,,Modal Shift - Travel to the Central Business District,,
90,Transportation,774,State of Good Repair,,State of Good Repair,,
90,Transportation,2014,Transit Capacity,,Transit Capacity,,
101,Transportation-related Injuries,2092,Bicycle Injury Emergency Department Visits,Bicycle injuries,Bicycle Injury Emergency Department Visits,Bicycle injury ED visits can indicate the overall safety of cycling in the city - for transporation or other purposes.,
101,Transportation-related Injuries,2086,Bicycle Injury Hospitalizations,,Bicycle Injury Hospitalizations,,
101,Transportation-related Injuries,2094,Pedestrian Injury Emergency Department Visits,Pedestrian injuries,Pedestrian Injury Emergency Department Visits,Pedestrian injury ED visits can indicate the safety of walking for transporation. ,
101,Transportation-related Injuries,2093,Pedestrian Injury Hospitalizations,,Pedestrian Injury Hospitalizations,,
116,Vector-borne Disease,2218,Babesiosis,,Babesiosis,"<p><a title=""Babesiosis"" href=""http://www1.nyc.gov/site/doh/health/health-topics/babesiosis.page"" target=""_blank"">Babesiosis</a>&nbsp;is a rare, sometimes severe or fatal tick-borne disease caused by Babesia microti, a protozoan parasite that infects red blood cells. Babesiosis is transmitted by the bite of an infected blacklegged tick, Ixodes scapularis, the same tick that transmits Lyme disease and anaplasmosis.&nbsp; Most patients acquire this disease while traveling to endemic areas outside NYC. However, there has been an increase in the number of cases with no history of travel to endemic areas, primarily in Staten Island, as well as isolated cases in the Bronx and Queens. Babesiosis can also be transmitted through transfused blood products.</p>",
,,,,,,<p>&nbsp;</p>,
,,,,,,"<p><span style=""font-size: small;"">For more information&nbsp;&nbsp;&nbsp;</span></p>",
,,,,,,"<p><span><a title=""NYC DOHMH Babesiosis "" href=""https://www1.nyc.gov/site/doh/health/health-topics/babesiosis.page"" target=""_blank"">NYC DOHMH Babesiosis Page</a></span></p>",
,,,,,,"<p><a title=""NYC DOHMH Zoonotic and Vectorborne Diseases"" href=""http://www1.nyc.gov/site/doh/health/health-topics/zoonotic-and-vectorborne-diseases.page"" target=""_blank"">NYC DOHMH Zoonotic and Vector-borne Diseases</a>&nbsp;</p>",
,,,,,,"<p><a title=""CDC Babesiosis"" href=""https://www.cdc.gov/parasites/babesiosis/index.html"" target=""_blank"">CDC Babesiosis&nbsp;</a></p>",
,,,,,,"<p><a href=""https://wwwn.cdc.gov/nndss/conditions/babesiosis/case-definition/2011/""><span>National Surveillance Babesiosis Case Definition</span>&nbsp;</a></p>",
116,Vector-borne Disease,2340,West Nile virus,,West Nile virus,"<p>West Nile virus (WNV) is an arbovirus which is transmitted through the bite of infected mosquitoes; in NYC, the mosquitoes that transmit WNV are primarily Culex pipiens as well as Culex restuans and Culex salinarius. While most people who are infected will not go on to develop symptoms, about 20% can experience mild or moderate illness and more rarely, neuroinvasive disease which can present as encephalitis or meningitis.&nbsp; Most of the West Nile disease cases detected by the New York City Department of Health and Mental Hygiene represent neuroinvasive disease as these patients are more likely to seek care.&nbsp; &nbsp;More specific West Nile viral disease data is available on the Health Department <a href=""http://www1.nyc.gov/site/doh/health/health-topics/west-nile-virus-reports.page"">website</a>.</p>",
125,Violence,2400,Non-fatal Assault Emergency Department Visits,,Non-fatal Assault Emergency Department Visits,"<p>Violence is frequently described through homicide statistics.&nbsp;While it is a leading cause of death and captures the most severe form of violence, non-fatal violence-related injuries resulting in emergency department visits are much more common and help paint the larger picture on the burden of violence and its impact on the health and future of individuals, families, and communities.</p>",
125,Violence,2375,Non-fatal Assault Hospitalizations,,Non-fatal Assault Hospitalizations,"<p>Violence is frequently described through homicide statistics.&nbsp;While it is a leading cause of death and captures the most severe form of violence, non-fatal violence-related injuries resulting in hospitalizations are much more common and help paint the larger picture on the burden of violence and its impact on the health and future of individuals, families, and communities.</p>",
117,Vulnerability,2232,Self-Reported Health,,Self-Reported Health,,
119,"Walking, Driving, and Cycling",2236,Adults Reporting Driving in the Last 30 Days,,Adults Reporting Driving in the Last 30 Days,,
119,"Walking, Driving, and Cycling",2237,Adults Reporting Messaging While Driving in the Last 30 Days,,Adults Reporting Messaging While Driving in the Last 30 Days,,
119,"Walking, Driving, and Cycling",2238,Adults Reporting Speeding in the Last 30 Days,,Adults Reporting Speeding in the Past 30 Days,,
119,"Walking, Driving, and Cycling",2058,Adults Who Walk or Bike for Transportation,,Adults Who Walk or Bike for Transportation,,
119,"Walking, Driving, and Cycling",2173,Bike for Transportation in the Past 7 Days,,Bike for Transportation in the Past 7 Days,,
119,"Walking, Driving, and Cycling",2059,Monthly Bicycle Use,Bicycling,Monthly Bicycle Use,Monthly bicycle use is an indicator of physical activity and regular cycling.,
119,"Walking, Driving, and Cycling",2172,Walk for Transportation in the Past 7 Days,,Walk for Transportation in the Past 7 Days,,
85,Water Supply,2001,Drinking Water Demand,,Drinking Water Demand,,
85,Water Supply,2009,Drinking Water Quality,,Drinking Water Quality,,
89,Waterways,2008,New York Harbor Water Quality,,New York Harbor Water Quality,,
100,Weather-Related Illness,2410,Heat stress: hospitalizations,Heat hospitalizations,Heat stress: hospitalizations,Heat stress hospitalizations weather are part of the public health burden due to hot weather. Data aggregated over five years provides enough stablility to display neighborhood impacts.,
100,Weather-Related Illness,2376,Cold stress: deaths,Cold deaths,Cold stress: deaths,"Deaths due to cold weather represent part of the public health burden of cold weather. Cold weather can also worsen chronic conditions, sometimes leading to death. This data only includes deaths directly attributed to cold on death certificates.
",
100,Weather-Related Illness,2175,Cold stress: emergency department visits,Cold ED visits,Cold stress: emergency department visits,"ED visits for cold-related illnesses, such as hypothermia and frostbite, represent part of the public health burden of cold weather. Cold weather can also make chronic conditions worse.",
